Entity1,Relationship,Entity2,Evidence,Evidence URL
BDU,Receptor,NPR-4,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
BDU,Receptor,NTR-1,"Beets et al., 2012",http://europepmc.org/abstract/MED/23112336
DA,Receptor,CKR-2,"Hu et al., 2011",http://www.ncbi.nlm.nih.gov/pubmed/21745640
DA,Receptor,NPR-3,"Keating et al., 2003",http://www.ncbi.nlm.nih.gov/pubmed/14521838
DB,Receptor,CKR-2,"Hu et al., 2011",http://www.ncbi.nlm.nih.gov/pubmed/21745640
DB,Receptor,NPR-3,"Keating et al., 2003",http://www.ncbi.nlm.nih.gov/pubmed/14521838
DB2,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
DD,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
DVA,Receptor,EGL-6,"Ringstad et al., 2008",http://www.nature.com/neuro/journal/v11/n10/full/nn.2186.html
DVA,Receptor,FRPR-4,"Nelson et al., 2014",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142938
FLP,Receptor,NPR-2,"Luo et al., 2015",http://www.genetics.org/content/199/2/523
FLP,Receptor,PDFR-1,"Janssen et al., 2008",http://www.ncbi.nlm.nih.gov/pubmed/18390545
HSN,Receptor,EGL-6,"Ringstad et al., 2008",http://www.nature.com/neuro/journal/v11/n10/full/nn.2186.html
I1,Receptor,FRPR-4,"Nelson et al., 2014",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142938
I1,Receptor,PDFR-1,"Janssen et al., 2008",http://www.ncbi.nlm.nih.gov/pubmed/18390545
I2,Receptor,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
IL2,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
IL2L,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
IL2R,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
M3,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
OLL,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
OLQ,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
OLQ,Receptor,NPR-2,"Luo et al., 2015",http://www.genetics.org/content/199/2/523
OLQ,Receptor,PDFR-1,"Janssen et al., 2008",http://www.ncbi.nlm.nih.gov/pubmed/18390545
PHA,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
PHA,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
PHA,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PHB,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
PHB,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
PHB,Receptor,PDFR-1,"Janssen et al., 2008",http://www.ncbi.nlm.nih.gov/pubmed/18390545
PLM,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PQR,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
PQR,Receptor,NPR-17,"Harris et al., 2010",http://www.ncbi.nlm.nih.gov/pubmed/20534837
PQR,Receptor,NPR-4,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
PQR,Receptor,NTR-1,"Beets et al., 2012",http://europepmc.org/abstract/MED/23112336
PQR,Receptor,NTR-2,"Beets et al., 2012",http://europepmc.org/abstract/MED/23112336
PQR,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PVC,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PVD,Receptor,NPR-2,"Luo et al., 2015",http://www.genetics.org/content/199/2/523
PVM,Receptor,FRPR-4,"Nelson et al., 2014",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142938
PVM,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PVP,Receptor,NPR-17,"Harris et al., 2010",http://www.ncbi.nlm.nih.gov/pubmed/20534837
PVP,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
PVQ,Receptor,NPR-17,"Harris et al., 2010",http://www.ncbi.nlm.nih.gov/pubmed/20534837
PVQ,Receptor,NPR-2,"Luo et al., 2015",http://www.genetics.org/content/199/2/523
PVQ,Receptor,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
PVQ,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
PVQ,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PVR,Receptor,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
PVR,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
PVW,Receptor,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
PVW,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
PVW,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
RIA,Receptor,FRPR-4,"Nelson et al., 2014",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142938
RIC,Receptor,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
RIF,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
RIF,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
RIG,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
RIV,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
RIV,Receptor,NPR-4,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
RME,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
RME,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
RMG,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
SAADL,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
SAADR,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
SAB,Receptor,NPR-2,"Luo et al., 2015",http://www.genetics.org/content/199/2/523
SDQ,Receptor,EGL-6,"Ringstad et al., 2008",http://www.nature.com/neuro/journal/v11/n10/full/nn.2186.html
SDQ,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
SMBDL,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
SMBDR,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
SMD,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
URX,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
URX,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
URY,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
VA,Receptor,CKR-2,"Hu et al., 2011",http://www.ncbi.nlm.nih.gov/pubmed/21745640
VA,Receptor,NPR-3,"Keating et al., 2003",http://www.ncbi.nlm.nih.gov/pubmed/14521838
VB,Receptor,CKR-2,"Hu et al., 2011",http://www.ncbi.nlm.nih.gov/pubmed/21745640
VB,Receptor,NPR-3,"Keating et al., 2003",http://www.ncbi.nlm.nih.gov/pubmed/14521838
VD,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
FLP-1,Ligand,NPR-11,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-1,Ligand,NPR-4,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-10,Ligand,EGL-6,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-13,Ligand,FRPR-4,"Nelson et al., 2014",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142938
FLP-14,Ligand,NPR-11,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-15,Ligand,NPR-3,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-17,Ligand,EGL-6,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-18,Ligand,NPR-1,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-18,Ligand,NPR-11,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-18,Ligand,NPR-4,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-18,Ligand,NPR-5,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-2,Ligand,FRPR-18,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-21,Ligand,NPR-1,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-21,Ligand,NPR-11,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-21,Ligand,NPR-2,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-21,Ligand,NPR-5,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-4,Ligand,NPR-4,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
FLP-5,Ligand,NPR-11,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
NLP-1,Ligand,NPR-11,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
NLP-12,Ligand,CKR-2,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
NLP-24,Ligand,NPR-17,"Cheong et al. et al., 2015",http://lens.elifesciences.org/06683/index.html
NLP-44,Ligand,NMUR-2,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
NLP-47,Ligand,GNRR-1,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
NTC-1,Ligand,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
PDF-1,Ligand,PDFR-1,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
PDF-2,Ligand,PDFR-1,"Altun et al., 2011",http://www.wormatlas.org/NTRmainframe.htm
